transaction_id,name,street,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,price
32436085,bartley residences,lorong how sun,apartment,19,upper paya lebar,serangoon,jan-18,463,01 to 05,700000
22646918,margaret ville,margaret drive,apartment,0,margaret drive,queenstown,jan-20,463,31 to 35,988713
79864730,rivergate,robertson quay,apartment,9,robertson quay,singapore river,jun-17,1055,36 to 40,2530000
15717259,corals at keppel bay,keppel bay drive,condominium,4,maritime square,bukit merah,dec-17,915,06 to 10,1785000
40110400,the makena,meyer road,condominium,15,mountbatten,marine parade,aug-20,926,11 to 15,1480000
84670133,lake grande,jurong lake link,condominium,22,hong kah,jurong west,oct-17,969,16 to 20,1182000
63523981,woodsvale,woodlands drive 72,executive condominium,25,woodlands east,woodlands,sep-19,1238,06 to 10,817000
43297988,midwood,hillview rise,condominium,23,hillview,bukit batok,apr-21,484,06 to 10,799000
14681471,parc esta,sims avenue,apartment,0,geylang east,geylang,mar-20,743,11 to 15,1255000
30290613,thomson 800,thomson road,condominium,11,toa payoh west,toa payoh,apr-17,1625,11 to 15,1960000
47519652,the garden residences,serangoon north view,apartment,19,serangoon garden,serangoon,jun-18,614,06 to 10,1042800
74752144,the luxurie,compassvale road,condominium,19,sengkang town centre,sengkang,oct-19,452,01 to 05,630000
14105474,royalgreen,anamalai avenue,condominium,10,holland road,bukit timah,jun-20,667,01 to 05,1799000
76982599X,avenue south residence,silat avenue,apartment,3,kampong tiong bahru,bukit merah,oct-19,527,01 to 05,1039000
36782234,nv residences,pasir ris grove,condominium,18,pasir ris central,pasir ris,mar-21,764,11 to 15,787000
78818657,provence residence,canberra crescent,executive condominium,27,sembawang east,sembawang,jul-21,926,06 to 10,1052000
73316695,one holland village residences,holland village way,apartment,10,holland drive,queenstown,oct-21,1098,26 to 30,3173360
43366297,the minton,hougang street 11,condominium,19,lorong ah soo,hougang,jun-17,936,06 to 10,950000
81681560,the woodleigh residences,bidadari park drive,apartment,13,bidadari,toa payoh,oct-20,667,11 to 15,1380000
41749411,allsworth park,holland road,condominium,10,ulu pandan,bukit timah,oct-17,1033,01 to 05,1480000
40754525,sky habitat,bishan street 15,condominium,20,bishan east,bishan,mar-20,1755,26 to 30,2320000
94307968,stirling residences,stirling road,apartment,3,mei chin,queenstown,aug-19,786,21 to 25,1446000
36803812,the gardens at bishan,sin ming walk,condominium,20,upper thomson,bishan,dec-21,1206,11 to 15,1658000
62571951,floridian,bukit timah road,condominium,21,holland road,bukit timah,mar-20,1851,01 to 05,3200000
45631422,gambier court,kim yam road,apartment,9,institution hill,river valley,jun-18,-1,06 to 10,1600000
