transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
75693043,https://condo-sg.com/south-beach-residences-5386,south beach residences,apartment,7,city hall,downtown core,oct-19,1798,21 to 25,A,6237000
29357414,https://condo-sg.com/the-prominence-1838,the prominence,apartment,15,geylang east,geylang,sep-19,1163,01 to 05,A,1300000
85806147,https://condo-sg.com/clavon-7496,clavon,apartment,5,clementi woods,clementi,dec-20,958,06 to 10,A,1499000
71766233,https://condo-sg.com/flo-residence-7481,flo residence,condominium,19,punggol field,punggol,jun-18,926,01 to 05,A,870000
95215583,https://condo-sg.com/bayshore-park-8914,bayshore park,condominium,16,bayshore,bedok,feb-19,936,06 to 10,A,995000
46976415,https://condo-sg.com/the-florence-residences-2345,the florence residences,apartment,19,kovan,hougang,sep-20,667,11 to 15,A,1116000
61076248,https://condo-sg.com/the-nassim-6904,the nassim,condominium,10,nassim,tanglin,may-18,1927,01 to 05,A,6986000
82382716,https://condo-sg.com/parc-botannia-4226,parc botannia,condominium,28,fernvale,sengkang,apr-18,581,16 to 20,A,826000
35730674,https://condo-sg.com/parc-esta-5816,parc esta,apartment,14,geylang east,geylang,dec-18,527,06 to 10,A,934000
25055151,https://condo-sg.com/jadescape-4272,jadescape,condominium,20,upper thomson,bishan,jul-19,527,11 to 15,A,909314
94385867,https://condo-sg.com/one-fort-5928,one fort,condominium,15,tanjong rhu,kallang,sep-17,1227,11 to 15,A,1580000
60565819,https://condo-sg.com/clover-by-the-park-2806,clover by the park,condominium,20,marymount,bishan,nov-17,1292,26 to 30,A,1628000
27692111,https://condo-sg.com/grandeur-park-residences-3487,grandeur park residences,condominium,16,bedok south,bedok,mar-17,560,01 to 05,A,749000
19411500,https://condo-sg.com/austville-residences-1568,austville residences,executive condominium,19,rivervale,sengkang,apr-21,1152,06 to 10,A,1080000
40096707,https://condo-sg.com/parc-botannia-9533,parc botannia,condominium,28,fernvale,sengkang,nov-17,506,01 to 05,A,611000
55579413,https://condo-sg.com/the-tre-ver-3921,the tre ver,condominium,13,potong pasir,toa payoh,apr-19,646,16 to 20,A,1085000
94137927,https://condo-sg.com/fourth-avenue-residences-9906,fourth avenue residences,apartment,10,coronation road,bukit timah,jun-21,506,01 to 05,A,1148000
59779223,https://condo-sg.com/aspen-heights-5792,aspen heights,condominium,9,institution hill,river valley,mar-19,1119,06 to 10,A,1900000
74833060,https://condo-sg.com/van-holland-8479,van holland,condominium,10,leedon park,bukit timah,aug-20,1055,01 to 05,A,3211860
10744310,https://condo-sg.com/cyan-8934,cyan,condominium,10,nassim,tanglin,feb-20,1098,01 to 05,A,2100000
97547641,https://condo-sg.com/the-crest-7329,the crest,condominium,3,alexandra north,bukit merah,feb-18,936,11 to 15,A,1803000
65217627,https://condo-sg.com/high-park-residences-5380,high park residences,apartment,28,fernvale,sengkang,nov-21,872,06 to 10,A,1068000
85910614,https://condo-sg.com/the-linq-@-beauty-world-9667,the linq @ beauty world,apartment,21,anak bukit,bukit timah,nov-20,1346,11 to 15,A,2783000
95821198,https://condo-sg.com/starlight-suites-1945,starlight suites,apartment,9,institution hill,river valley,feb-20,1055,06 to 10,A,1850000
64844272,https://condo-sg.com/seasons-park-1117,seasons park,condominium,26,yio chu kang west,ang mo kio,may-21,1066,01 to 05,A,980000
19647184,https://condo-sg.com/hillington-green-9948,hillington green,condominium,23,hillview,bukit batok,dec-20,1346,01 to 05,A,1675000
80195301,https://condo-sg.com/kentview-park-5705,kentview park,condominium,5,pasir panjang 1,queenstown,oct-19,1302,01 to 05,A,1450000
10099386,https://condo-sg.com/parc-canberra-9822,parc canberra,executive condominium,27,sembawang east,sembawang,feb-20,947,06 to 10,A,1073000
77864907,https://condo-sg.com/forestville-6307,forestville,executive condominium,25,woodlands south,woodlands,may-21,1033,06 to 10,A,910000
80770637,https://condo-sg.com/coco-palms-2641,coco palms,condominium,18,pasir ris central,pasir ris,may-17,1259,11 to 15,A,1430400
95065506,https://condo-sg.com/summerdale-6708,summerdale,executive condominium,22,boon lay place,jurong west,apr-17,1270,06 to 10,A,860000
60049517,https://condo-sg.com/avenue-south-residence-4448,avenue south residence,apartment,3,kampong tiong bahru,bukit merah,oct-19,732,21 to 25,A,1463000
69304079,https://condo-sg.com/regency-suites-9625,regency suites,apartment,3,tiong bahru station,bukit merah,may-18,592,01 to 05,A,1080000
23956356,https://condo-sg.com/lakeholmz-4091,lakeholmz,condominium,22,taman jurong,jurong west,mar-17,1507,11 to 15,A,1220000
83521067,https://condo-sg.com/park-colonial-5971,park colonial,condominium,13,woodleigh,toa payoh,jul-18,980,11 to 15,A,1619000
81833689,https://condo-sg.com/seletar-park-residence-3848,seletar park residence,condominium,28,seletar hills,serangoon,aug-21,1991,01 to 05,A,1488000
26568487,https://condo-sg.com/piermont-grand-9632,piermont grand,executive condominium,19,punggol town centre,punggol,mar-20,840,11 to 15,A,959850
30496016,https://condo-sg.com/sims-urban-oasis-9222,sims urban oasis,condominium,14,aljunied,geylang,jul-20,624,06 to 10,A,950000
29899497,https://condo-sg.com/waterfront-key-5334,waterfront key,condominium,16,bedok reservoir,bedok,may-18,904,06 to 10,A,1125000
19565517,https://condo-sg.com/bedok-residences-7769,bedok residences,apartment,16,bedok north,bedok,apr-21,936,06 to 10,A,1400000
97568593,https://condo-sg.com/amber-skye-9068,amber skye,apartment,15,marine parade,marine parade,jun-17,1335,16 to 20,A,2646840
29243672,https://condo-sg.com/kingsford-waterbay-4202,kingsford waterbay,apartment,19,kangkar,hougang,jun-18,850,06 to 10,A,1121132
53085122,https://condo-sg.com/the-sunnydale-8464,the sunnydale,condominium,19,serangoon central,serangoon,nov-19,1421,01 to 05,A,1345000
50364922,https://condo-sg.com/oleanas-residence-6700,oleanas residence,condominium,9,institution hill,river valley,sep-17,1238,21 to 25,A,1928000
25305451,https://condo-sg.com/hillview-green-3260,hillview green,condominium,21,hillview,bukit batok,apr-17,980,06 to 10,A,950000
22522295,https://condo-sg.com/seaside-residences-7745,seaside residences,apartment,15,siglap,bedok,feb-21,775,26 to 30,A,1294940
25789862,https://condo-sg.com/mayfair-modern-9802,mayfair modern,condominium,21,swiss club,bukit timah,apr-21,807,06 to 10,A,1737945
87159053,https://condo-sg.com/sunny-palms-7207,sunny palms,condominium,15,frankel,bedok,apr-20,1044,01 to 05,A,1128000
71339932,https://condo-sg.com/the-cascadia-4102,the cascadia,condominium,21,holland road,bukit timah,dec-19,3961,06 to 10,A,4680000
47081824,https://condo-sg.com/d'nest-8709,d'nest,condominium,18,pasir ris central,pasir ris,aug-20,753,06 to 10,A,820000
46871412,https://condo-sg.com/the-vue-9701,the vue,apartment,19,upper paya lebar,serangoon,jul-17,420,01 to 05,A,600000
30578942,https://condo-sg.com/fivenine-1400,fivenine,apartment,15,frankel,bedok,mar-18,1292,01 to 05,A,1850000
60717284,https://condo-sg.com/irwell-hill-residences-5501,irwell hill residences,apartment,9,leonie hill,river valley,apr-21,452,01 to 05,A,1188000
90318360,https://condo-sg.com/parc-centros-5665,parc centros,condominium,19,matilda,punggol,feb-21,764,11 to 15,A,930000
37004934,https://condo-sg.com/parc-rosewood-6054,parc rosewood,condominium,25,woodgrove,woodlands,nov-19,1787,01 to 05,A,1200000
91845193,https://condo-sg.com/twin-fountains-8707,twin fountains,executive condominium,25,woodlands south,woodlands,oct-21,1593,06 to 10,A,1592000
