transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
30692914.0,https://condo-sg.com/ola-2434,ola,executive condominium,19,anchorvale,Sengkang,aug-21,926,06 to 10,A,1063000
88377161.0,https://condo-sg.com/riverfront-residences-5726,riverfront residences,apartment,19,kangkar,hougang,oct-19,1410,16 to 20,A,1857000
98265362.0,https://condo-sg.com/gideon's-lodge-3546,gideon's lodge,apartment,15,geylang east,geylang,apr-19,1313,01 to 05,A,1318000
97008029.0,https://condo-sg.com/the-shore-residences-1542,the shore residences,condominium,15,marine parade,marine parade,jul-18,592,06 to 10,A,1000000
28311320.0,https://condo-sg.com/the-interlace-6036,the interlace,condominium,4,depot road,bukit merah,oct-18,2357,16 to 20,A,3180000
18924951.0,https://condo-sg.com/sims-urban-oasis-2790,sims urban oasis,condominium,14,aljunied,geylang,sep-17,958,01 to 05,A,1276500
61812260.0,https://condo-sg.com/91-marshall-3049,91 marshall,apartment,15,katong,marine parade,jul-18,570,01 to 05,A,900000
10860832.0,https://condo-sg.com/bartley-residences-2789,bartley residences,apartment,19,upper paya lebar,Serangoon,aug-18,1098,01 to 05,A,1380000
86156012.0,https://condo-sg.com/principal-garden-2528,principal garden,condominium,3,alexandra north,bukit merah,apr-17,807,16 to 20,A,1401000
29333474.0,https://condo-sg.com/prestige-heights-8712,prestige_heights,apartment,12,balestier,novena,sep-17,861,11 to 15,A,1120000
52011696.0,https://condo-sg.com/elias-green-9502,elias green,condominium,18,pasir ris central,pasir ris,feb-17,1528,11 to 15,A,825000
52377273.0,https://condo-sg.com/one-@-pulasan-5417,one @ pulasan,apartment,15,katong,marine parade,nov-18,893,01 to 05,A,910000
58877811.0,https://condo-sg.com/midtown-modern-7277,midtown modern,apartment,7,bugis,downtown core,mar-21,409,21 to 25,A,1361250
72616394.0,https://condo-sg.com/stirling-residences-7766,stirling residences,apartment,3,mei chin,queenstown,jul-27,678,01 to 05,A,1303000
22077889.0,https://condo-sg.com/pasir-ris-8-4184,pasir ris 8,apartment,18,pasir ris central,pasir ris,jul-21,775,06 to 10,A,1298000
92947650.0,https://condo-sg.com/waterbay-2167,waterbay,executive condominium,19,punggol field,Punggol,apr-21,1098,01 to 05,A,1060000
72139916.0,https://condo-sg.com/clavon-9054,clavon,apartment,5,clementi woods,clementi,dec-20,958,21 to 25,A,1588000
57504128.0,https://condo-sg.com/amber-point-1719,amber point,condominium,15,marine parade,marine parade,mar-19,1690,16 to 20,A,2800000
75427154.0,https://condo-sg.com/symphony-suites-6119,symphony_suites,condominium,27,yishun east,yishun,oct-17,915,01 to 05,A,931000
99809300.0,https://condo-sg.com/riverfront-residences-5121,riverfront residences,apartment,19,kangkar,hougang,sep-26,517,06 to 10,A,710000
36969113.0,https://condo-sg.com/the-verandah-residences-5525,the verandah residences,apartment,5,pasir panjang 1,queenstown,apr-18,1,01 to 05,A,888000
97682382.0,https://condo-sg.com/caspian-4309,caspian,condominium,22,taman jurong,jurong west,feb-21,1238,01 to 05,A,1390000
64492182.0,https://condo-sg.com/the-florence-residences-1965,the_florence_residences,apartment,19,kovan,hougang,sep-19,603,16 to 20,A,799000
27063334.0,https://condo-sg.com/leville-isuites-1959,leville isuites,apartment,15,katong,marine parade,aug-17,1173,01 to 05,A,1490000
84717239.0,https://condo-sg.com/avenue-south-residence-2593,avenue south residence,apartment,3,kampong tiong bahru,bukit merah,mar-21,1109,36 to 40,A,2394000
34080598.0,https://condo-sg.com/costa-del-sol-4693,costa del sol,condominium,16,bayshore,bedok,may-17,1475,01 to 05,A,1400000
43662832.0,https://condo-sg.com/pasir-ris-8-6041,pasir ris 8,apartment,18,pasir ris central,pasir ris,jul-21,775,06 to 10,A,1266000
55474391.0,https://condo-sg.com/symphony-suites-6201,symphony suites,condominium,27,yishun east,yishun,apr-17,689,11 to 15,A,738000
35153720.0,https://condo-sg.com/treasure-at-tampines-6862,treasure at tampines,condominium,18,tampines east,tampines,jan-20,678,11 to 15,A,954112
67646919.0,https://condo-sg.com/pasir-ris-8-3387,pasir ris 8,apartment,18,pasir ris central,pasir ris,jul-21,710,11 to 15,A,1152000
11087731.0,https://condo-sg.com/the-florence-residences-5172,the florence residences,apartment,19,kovan,hougang,apr-19,1281,01 to 05,A,1747000
52154274.0,https://condo-sg.com/ivory-heights-9752,ivory heights,condominium,22,yuhua east,jurong east,nov-20,1948,01 to 05,A,1550000
21809696.0,https://condo-sg.com/the-nassim-8758,the nassim,condominium,10,nassim,Tanglin,sep-17,2906,01 to 05,A,9880000
