transaction_id,url,name,street,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
63310666,http://condo-sg.com/sengkang-grand-residences-2571,sengkang grand residences,compassvale bow,apartment,19,compassvale,sengkang,sep-20,678,01 to 05,A,1093600
28419470,,citylights,jellicoe road,condominium,8,lavender,kallang,nov-21,592,31 to 35,A,1051500
91996858,http://condo-sg.com/bartley-ridge-7579,bartley ridge,mount vernon road,condominium,13,joo seng,toa payoh,dec-20,463,06 to 10,A,700000
32971479,http://condo-sg.com/midtown-bay-2610,midtown bay,beach road,apartment,7,city hall,downtown core,oct-19,463,06 to 10,A,1318600
73651225,,the tessarina,wilby road,condominium,10,holland road,bukit timah,dec-20,990,01 to 05,A,1775000
24056934,http://condo-sg.com/the-madeira-3603,the madeira,bukit batok street 31,condominium,23,hong kah north,bukit batok,dec-19,1249,16 to 20,A,1078000
65560857,http://condo-sg.com/citylights-4957,citylights,jellicoe road,condominium,8,lavender,kallang,dec-21,926,06 to 10,A,1480000
44427508,http://condo-sg.com/onze-@-tanjong-pagar-9422,onze @ tanjong pagar,kee seng street,apartment,2,chinatown,outram,oct-20,570,16 to 20,A,1210000
56076746,http://condo-sg.com/luxe-ville-8701,luxe ville,pasir panjang road,apartment,5,pasir panjang 1,queenstown,jun-19,1636,01 to 05,A,2050000
61062730,http://condo-sg.com/monterey-park-condominium-2936,monterey park condominium,west coast rise,condominium,5,west coast,clementi,jul-17,1421,06 to 10,A,1620000
34220492,http://condo-sg.com/waterbay-4609,waterbay,edgefield plains,executive condominium,19,punggol field,,apr-21,1098,11 to 15,A,1108000
86228199,http://condo-sg.com/hyll-on-holland-7381,hyll on holland,holland road,condominium,10,leedon park,bukit timah,jun-21,936,01 to 05,A,2100000
67746890,http://condo-sg.com/parc-clematis-4564,parc clematis,jalan lempeng,apartment,5,faber,clementi,dec-20,1292,11 to 15,A,2130000
97152670,http://condo-sg.com/grandeur-park-residences-9902,grandeur park residences,bedok south avenue 3,condominium,16,bedok south,bedok,mar-17,893,06 to 10,A,1216000
75444679,http://condo-sg.com/watertown-1117,watertown,punggol central,apartment,19,punggol town centre,punggol,aug-18,581,06 to 10,A,740000
63544769,http://condo-sg.com/kingsford-.-hillview-peak-1876,kingsford . hillview peak,hillview rise,condominium,23,hillview,bukit batok,apr-21,786,01 to 05,A,1015000
95359782,,concourse skyline,beach road,apartment,7,nicoll,downtown core,jul-21,1087,16 to 20,A,2020000
